127.0.0.1, 2020-01-20 10:11:00, GET, /NE_PAGOS/default/index, HTTP/1.1, 500, 0.199877
127.0.0.1, 2020-01-20 10:11:01, GET, /favicon.ico, HTTP/1.1, 400, 0.000718
127.0.0.1, 2020-01-20 10:11:07, GET, /NE_PAGOS/default/index, HTTP/1.1, 200, 0.144686
127.0.0.1, 2020-01-20 10:11:10, GET, /NE_PAGOS/default/index, HTTP/1.1, 200, 0.146509
127.0.0.1, 2020-01-20 10:11:14, GET, /NE_PAGOS/static/images/favicon.ico, HTTP/1.1, 200, 0.001127
127.0.0.1, 2020-01-20 10:11:20, GET, /NE_PAGOS/default/index, HTTP/1.1, 500, 0.346921
127.0.0.1, 2020-01-20 10:11:20, GET, /favicon.ico, HTTP/1.1, 400, 0.000705
127.0.0.1, 2020-01-20 10:11:30, GET, /NE_PAGOS/default/index, HTTP/1.1, 500, 0.189820
127.0.0.1, 2020-01-20 10:11:30, GET, /favicon.ico, HTTP/1.1, 400, 0.000636
127.0.0.1, 2020-01-20 10:11:32, GET, /admin/default/ticket/NE_PAGOS/127.0.0.1.2020-01-20.10-11-29.5891f2f0-efb5-4ef4-8e37-958da2f274a5, HTTP/1.1, 200, 0.077162
127.0.0.1, 2020-01-20 10:11:32, GET, /favicon.ico, HTTP/1.1, 400, 0.000615
127.0.0.1, 2020-01-20 10:11:50, GET, /NE_PAGOS/default/index, HTTP/1.1, 404, 0.084193
127.0.0.1, 2020-01-20 10:11:50, GET, /favicon.ico, HTTP/1.1, 400, 0.000734
127.0.0.1, 2020-01-20 10:12:05, GET, /NE_PAGOS/default, HTTP/1.1, 200, 0.100794
127.0.0.1, 2020-01-20 10:12:11, GET, /NE_PAGOS/default/index, HTTP/1.1, 404, 0.101389
127.0.0.1, 2020-01-20 10:12:11, GET, /favicon.ico, HTTP/1.1, 400, 0.000649
127.0.0.1, 2020-01-20 10:12:36, GET, /NE_PAGOS/default/index, HTTP/1.1, 200, 0.113430
127.0.0.1, 2020-01-20 10:12:42, GET, /NE_PAGOS/static/images/favicon.ico, HTTP/1.1, 200, 0.000982
127.0.0.1, 2020-01-20 10:13:36, GET, /NE_PAGOS/default/index, HTTP/1.1, 404, 0.081234
127.0.0.1, 2020-01-20 10:13:36, GET, /favicon.ico, HTTP/1.1, 400, 0.000662
127.0.0.1, 2020-01-20 10:14:48, GET, /NE_PAGOS/default, HTTP/1.1, 200, 0.103486
127.0.0.1, 2020-01-20 10:14:50, GET, /NE_PAGOS/default, HTTP/1.1, 200, 0.093573
127.0.0.1, 2020-01-20 10:14:51, GET, /NE_PAGOS/static/images/favicon.ico, HTTP/1.1, 200, 0.001014
127.0.0.1, 2020-01-20 10:15:02, GET, /NE_PAGOS/default/index, HTTP/1.1, 404, 0.080272
127.0.0.1, 2020-01-20 10:15:02, GET, /favicon.ico, HTTP/1.1, 400, 0.000780
127.0.0.1, 2020-01-20 10:17:51, GET, /NE_PAGOS/default/index, HTTP/1.1, 200, 0.138795
127.0.0.1, 2020-01-20 10:17:51, GET, /favicon.ico, HTTP/1.1, 400, 0.000658
127.0.0.1, 2020-01-20 10:17:55, GET, /NE_PAGOS/default, HTTP/1.1, 200, 0.137213
127.0.0.1, 2020-01-20 10:17:57, GET, /NE_PAGOS/default/index, HTTP/1.1, 200, 0.124171
127.0.0.1, 2020-01-20 10:21:23, GET, /NE_PAGOS/default/index, HTTP/1.1, 200, 0.083819
127.0.0.1, 2020-01-20 10:21:24, GET, /favicon.ico, HTTP/1.1, 400, 0.000687
127.0.0.1, 2020-01-20 10:21:27, GET, /NE_PAGOS/default/index, HTTP/1.1, 200, 0.091649
127.0.0.1, 2020-01-20 10:21:49, GET, /NE_PAGOS/default/index, HTTP/1.1, 200, 0.096730
127.0.0.1, 2020-01-20 10:21:50, GET, /NE_PAGOS/static/images/favicon.ico, HTTP/1.1, 200, 0.001295
127.0.0.1, 2020-01-20 10:21:57, GET, /NE_PAGOS/default/index, HTTP/1.1, 200, 0.126212
127.0.0.1, 2020-01-20 10:22:44, GET, /NE_PAGOS/default/index, HTTP/1.1, 200, 0.126584
127.0.0.1, 2020-01-20 10:22:45, GET, /NE_PAGOS/static/images/favicon.ico, HTTP/1.1, 200, 0.002092
127.0.0.1, 2020-01-20 10:23:10, GET, /NE_PAGOS/default/index, HTTP/1.1, 200, 0.110522
127.0.0.1, 2020-01-20 10:23:11, GET, /NE_PAGOS/static/images/favicon.ico, HTTP/1.1, 200, 0.001171
127.0.0.1, 2020-01-20 10:23:21, GET, /NE_PAGOS/default/index, HTTP/1.1, 200, 0.118023
127.0.0.1, 2020-01-20 10:23:22, GET, /NE_PAGOS/static/images/favicon.ico, HTTP/1.1, 200, 0.001134
127.0.0.1, 2020-01-20 10:26:32, GET, /NE_PAGOS/default/index, HTTP/1.1, 500, 0.184898
127.0.0.1, 2020-01-20 10:26:32, GET, /favicon.ico, HTTP/1.1, 400, 0.000659
127.0.0.1, 2020-01-20 10:26:36, GET, /NE_PAGOS/default/index, HTTP/1.1, 200, 0.136567
127.0.0.1, 2020-01-20 10:26:37, GET, /NE_PAGOS/static/images/favicon.ico, HTTP/1.1, 200, 0.001012
127.0.0.1, 2020-01-20 10:26:54, GET, /NE_PAGOS/default/index, HTTP/1.1, 200, 0.096993
127.0.0.1, 2020-01-20 10:26:55, GET, /NE_PAGOS/static/images/favicon.ico, HTTP/1.1, 200, 0.001098
127.0.0.1, 2020-01-20 10:27:06, GET, /NE_PAGOS/default/index, HTTP/1.1, 200, 0.099277
127.0.0.1, 2020-01-20 10:27:07, GET, /NE_PAGOS/static/images/favicon.ico, HTTP/1.1, 200, 0.001109
127.0.0.1, 2020-01-20 10:27:23, GET, /NE_PAGOS/default/index, HTTP/1.1, 200, 0.131440
127.0.0.1, 2020-01-20 10:27:24, GET, /NE_PAGOS/static/images/favicon.ico, HTTP/1.1, 200, 0.001100
127.0.0.1, 2020-01-20 10:28:33, GET, /NE_PAGOS/default/index, HTTP/1.1, 200, 0.125730
127.0.0.1, 2020-01-20 10:28:37, GET, /NE_PAGOS/default/grupos_manage, HTTP/1.1, 200, 0.138426
127.0.0.1, 2020-01-20 10:28:42, GET, /NE_PAGOS/default/alumnos_manage, HTTP/1.1, 200, 0.214657
127.0.0.1, 2020-01-20 10:28:46, GET, /NE_PAGOS/default/procesos_manage, HTTP/1.1, 200, 0.167991
127.0.0.1, 2020-01-20 10:28:49, GET, /NE_PAGOS/default/pagos_manage, HTTP/1.1, 200, 0.154830
127.0.0.1, 2020-01-20 10:28:52, GET, /NE_PAGOS/default/index, HTTP/1.1, 200, 0.097518
127.0.0.1, 2020-01-20 10:29:51, GET, /NE_PAGOS/default/index, HTTP/1.1, 200, 0.095687
127.0.0.1, 2020-01-20 10:29:52, GET, /NE_PAGOS/static/images/favicon.ico, HTTP/1.1, 200, 0.001096
127.0.0.1, 2020-01-20 10:30:09, GET, /NE_PAGOS/default/index, HTTP/1.1, 200, 0.098798
127.0.0.1, 2020-01-20 10:30:10, GET, /NE_PAGOS/static/images/favicon.ico, HTTP/1.1, 200, 0.000996
127.0.0.1, 2020-01-20 10:30:27, GET, /NE_PAGOS/default/index, HTTP/1.1, 200, 0.095273
127.0.0.1, 2020-01-20 10:30:28, GET, /NE_PAGOS/static/images/favicon.ico, HTTP/1.1, 200, 0.001183
127.0.0.1, 2020-01-20 10:30:46, GET, /NE_PAGOS/default/index, HTTP/1.1, 200, 0.093622
127.0.0.1, 2020-01-20 10:30:46, GET, /NE_PAGOS/static/images/favicon.ico, HTTP/1.1, 200, 0.001086
127.0.0.1, 2020-01-20 10:30:54, GET, /NE_PAGOS/default/index, HTTP/1.1, 200, 0.149658
127.0.0.1, 2020-01-20 10:30:55, GET, /NE_PAGOS/default/index, HTTP/1.1, 200, 0.110897
127.0.0.1, 2020-01-20 10:30:55, GET, /NE_PAGOS/static/images/favicon.ico, HTTP/1.1, 200, 0.001145
127.0.0.1, 2020-01-20 10:31:12, GET, /NE_PAGOS/default/index, HTTP/1.1, 200, 0.104074
127.0.0.1, 2020-01-20 10:31:13, GET, /NE_PAGOS/static/images/favicon.ico, HTTP/1.1, 200, 0.000928
127.0.0.1, 2020-01-20 10:31:23, GET, /NE_PAGOS/default/index, HTTP/1.1, 200, 0.102367
127.0.0.1, 2020-01-20 10:31:24, GET, /NE_PAGOS/static/images/favicon.ico, HTTP/1.1, 200, 0.001023
127.0.0.1, 2020-01-20 10:31:36, GET, /NE_PAGOS/default/grupos_manage, HTTP/1.1, 200, 0.140494
127.0.0.1, 2020-01-20 10:31:37, GET, /NE_PAGOS/default/index, HTTP/1.1, 200, 0.098817
127.0.0.1, 2020-01-20 10:42:50, GET, /NE_PAGOS/default/pagos_manage, HTTP/1.1, 200, 0.226754
127.0.0.1, 2020-01-20 10:43:14, GET, /NE_PAGOS/default/grupos_manage, HTTP/1.1, 200, 0.142306
127.0.0.1, 2020-01-20 10:43:16, GET, /NE_PAGOS/default/index, HTTP/1.1, 200, 0.095062
127.0.0.1, 2020-01-20 10:43:27, GET, /NE_PAGOS/default/pagos_manage, HTTP/1.1, 200, 0.147433
127.0.0.1, 2020-01-20 10:43:33, POST, /NE_PAGOS/default/pagos_manage/delete/t_pagos/26, HTTP/1.1, 200, 0.104886
127.0.0.1, 2020-01-20 10:43:35, GET, /NE_PAGOS/default/alumnos_manage, HTTP/1.1, 200, 0.304855
127.0.0.1, 2020-01-20 10:43:38, GET, /NE_PAGOS/default/pagos_manage, HTTP/1.1, 200, 0.147254
127.0.0.1, 2020-01-20 10:43:41, GET, /NE_PAGOS/default/alumnos_manage, HTTP/1.1, 200, 0.191432
127.0.0.1, 2020-01-20 10:43:44, GET, /NE_PAGOS/default/procesos_manage, HTTP/1.1, 200, 0.224906
127.0.0.1, 2020-01-20 10:44:17, GET, /NE_PAGOS/default/procesos_manage, HTTP/1.1, 200, 0.154992
127.0.0.1, 2020-01-20 10:44:17, GET, /NE_PAGOS/static/images/favicon.ico, HTTP/1.1, 200, 0.001105
127.0.0.1, 2020-01-20 10:44:18, GET, /NE_PAGOS/default/alumnos_manage, HTTP/1.1, 200, 0.200616
127.0.0.1, 2020-01-20 10:44:20, GET, /NE_PAGOS/default/alumnos_manage, HTTP/1.1, 200, 0.191753
127.0.0.1, 2020-01-20 10:44:30, GET, /NE_PAGOS/default/index, HTTP/1.1, 200, 0.185283
127.0.0.1, 2020-01-20 10:50:45, GET, /NE_PAGOS/default/grupos_manage, HTTP/1.1, 200, 0.167594
127.0.0.1, 2020-01-20 10:50:47, GET, /NE_PAGOS/default/alumnos_manage, HTTP/1.1, 200, 0.165184
127.0.0.1, 2020-01-20 10:50:53, GET, /NE_PAGOS/default/pagos_manage, HTTP/1.1, 200, 0.154754
127.0.0.1, 2020-01-20 10:54:00, GET, /NE_PAGOS/default/pagos_manage, HTTP/1.1, 200, 0.191383
127.0.0.1, 2020-01-20 10:54:00, GET, /NE_PAGOS/static/images/favicon.ico, HTTP/1.1, 200, 0.001134
127.0.0.1, 2020-01-20 10:54:01, GET, /NE_PAGOS/default/pagos_manage, HTTP/1.1, 200, 0.160277
127.0.0.1, 2020-01-20 10:54:02, GET, /NE_PAGOS/static/images/favicon.ico, HTTP/1.1, 200, 0.001168
127.0.0.1, 2020-01-20 10:54:03, GET, /NE_PAGOS/default/index, HTTP/1.1, 500, 0.198670
127.0.0.1, 2020-01-20 10:54:03, GET, /favicon.ico, HTTP/1.1, 400, 0.000666
127.0.0.1, 2020-01-20 10:54:04, GET, /admin/default/ticket/NE_PAGOS/127.0.0.1.2020-01-20.10-54-02.a8921bbe-096e-4b8f-8eae-cd2738072b94, HTTP/1.1, 200, 0.087573
127.0.0.1, 2020-01-20 10:54:04, GET, /favicon.ico, HTTP/1.1, 400, 0.000627
127.0.0.1, 2020-01-20 10:54:29, GET, /NE_PAGOS/default/index, HTTP/1.1, 500, 0.209841
127.0.0.1, 2020-01-20 10:54:29, GET, /favicon.ico, HTTP/1.1, 400, 0.000670
127.0.0.1, 2020-01-20 10:54:31, GET, /admin/default/ticket/NE_PAGOS/127.0.0.1.2020-01-20.10-54-29.2dd6124e-7fa3-43ae-ad9b-d964aaac2ebb, HTTP/1.1, 200, 0.143306
127.0.0.1, 2020-01-20 10:54:31, GET, /favicon.ico, HTTP/1.1, 400, 0.000630
127.0.0.1, 2020-01-20 10:54:45, GET, /NE_PAGOS/default/index, HTTP/1.1, 500, 0.287851
127.0.0.1, 2020-01-20 10:54:45, GET, /favicon.ico, HTTP/1.1, 400, 0.000616
127.0.0.1, 2020-01-20 10:54:47, GET, /admin/default/ticket/NE_PAGOS/127.0.0.1.2020-01-20.10-54-44.4e570778-a17a-4ab3-a715-bae26773814d, HTTP/1.1, 200, 0.168679
127.0.0.1, 2020-01-20 10:54:48, GET, /favicon.ico, HTTP/1.1, 400, 0.000628
127.0.0.1, 2020-01-20 10:55:04, GET, /admin/default/ticket/NE_PAGOS/127.0.0.1.2020-01-20.10-54-44.4e570778-a17a-4ab3-a715-bae26773814d, HTTP/1.1, 200, 0.166028
127.0.0.1, 2020-01-20 10:55:05, GET, /favicon.ico, HTTP/1.1, 400, 0.000670
127.0.0.1, 2020-01-20 10:55:07, GET, /NE_PAGOS/default/index, HTTP/1.1, 200, 0.124509
127.0.0.1, 2020-01-20 10:55:09, GET, /NE_PAGOS/static/images/favicon.ico, HTTP/1.1, 200, 0.001024
127.0.0.1, 2020-01-20 10:55:23, GET, /NE_PAGOS/default/index, HTTP/1.1, 200, 0.292025
127.0.0.1, 2020-01-20 10:55:25, GET, /NE_PAGOS/static/images/favicon.ico, HTTP/1.1, 200, 0.001174
127.0.0.1, 2020-01-20 10:56:27, GET, /NE_PAGOS/default/index, HTTP/1.1, 200, 0.127818
127.0.0.1, 2020-01-20 10:56:28, GET, /NE_PAGOS/static/images/favicon.ico, HTTP/1.1, 200, 0.001022
127.0.0.1, 2020-01-20 10:57:28, GET, /NE_PAGOS/default/index, HTTP/1.1, 200, 0.130876
127.0.0.1, 2020-01-20 10:57:30, GET, /NE_PAGOS/static/images/favicon.ico, HTTP/1.1, 200, 0.001120
127.0.0.1, 2020-01-20 10:57:35, GET, /NE_PAGOS/default/index, HTTP/1.1, 200, 0.109638
127.0.0.1, 2020-01-20 10:57:36, GET, /NE_PAGOS/static/images/favicon.ico, HTTP/1.1, 200, 0.000952
127.0.0.1, 2020-01-20 10:57:53, GET, /NE_PAGOS/default/index, HTTP/1.1, 500, 0.204735
127.0.0.1, 2020-01-20 10:57:53, GET, /favicon.ico, HTTP/1.1, 400, 0.000676
127.0.0.1, 2020-01-20 10:58:41, GET, /NE_PAGOS/default/index, HTTP/1.1, 200, 0.135910
127.0.0.1, 2020-01-20 10:58:42, GET, /NE_PAGOS/static/images/favicon.ico, HTTP/1.1, 200, 0.001014
127.0.0.1, 2020-01-20 10:58:49, GET, /NE_PAGOS/default/pagos_manage, HTTP/1.1, 200, 0.171563
127.0.0.1, 2020-01-20 10:58:52, GET, /NE_PAGOS/default/alumnos_manage, HTTP/1.1, 200, 0.210449
127.0.0.1, 2020-01-20 10:58:52, GET, /NE_PAGOS/default/grupos_manage, HTTP/1.1, 200, 0.223229
127.0.0.1, 2020-01-20 10:58:55, GET, /NE_PAGOS/default/alumnos_manage, HTTP/1.1, 200, 0.145875
127.0.0.1, 2020-01-20 10:58:59, GET, /NE_PAGOS/default/index, HTTP/1.1, 200, 0.116984
127.0.0.1, 2020-01-20 10:59:04, GET, /NE_PAGOS/default/pagos_manage, HTTP/1.1, 200, 0.168981
127.0.0.1, 2020-01-20 10:59:09, POST, /NE_PAGOS/default/pagos_manage/delete/t_pagos/27, HTTP/1.1, 200, 0.161669
127.0.0.1, 2020-01-20 10:59:11, POST, /NE_PAGOS/default/pagos_manage/delete/t_pagos/23, HTTP/1.1, 200, 0.383404
127.0.0.1, 2020-01-20 10:59:13, POST, /NE_PAGOS/default/pagos_manage/delete/t_pagos/24, HTTP/1.1, 200, 0.161564
127.0.0.1, 2020-01-20 10:59:14, POST, /NE_PAGOS/default/pagos_manage/delete/t_pagos/25, HTTP/1.1, 200, 0.117280
127.0.0.1, 2020-01-20 10:59:15, GET, /NE_PAGOS/default/grupos_manage, HTTP/1.1, 200, 0.165202
127.0.0.1, 2020-01-20 10:59:18, GET, /NE_PAGOS/default/alumnos_manage, HTTP/1.1, 200, 0.215231
127.0.0.1, 2020-01-20 10:59:21, GET, /NE_PAGOS/default/index, HTTP/1.1, 200, 0.174847
127.0.0.1, 2020-01-20 11:00:51, GET, /, HTTP/1.1, 303, 0.000962
127.0.0.1, 2020-01-20 11:00:51, GET, /welcome/default/index, HTTP/1.1, 200, 0.059313
127.0.0.1, 2020-01-20 11:00:51, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000819
